iter	Passed	Remaining
0	3	352
1	5	275
2	7	236
3	8	207
4	10	195
5	12	188
6	13	184
7	16	184
8	18	185
9	20	180
10	21	173
11	23	168
12	24	163
13	25	159
14	28	159
15	30	157
16	32	158
17	34	158
18	36	156
19	38	152
20	39	149
21	41	145
22	42	142
23	44	139
24	46	139
25	48	137
26	49	134
27	51	132
28	53	129
29	55	129
30	58	129
31	60	127
32	61	125
33	63	123
34	65	121
35	66	118
36	68	116
37	70	115
38	72	113
39	73	110
40	75	108
41	76	105
42	78	103
43	80	102
44	82	100
45	84	98
46	86	97
47	88	95
48	90	93
49	92	92
50	94	90
51	96	88
52	97	86
53	99	85
54	101	82
55	103	80
56	105	79
57	107	77
58	109	76
59	111	74
60	113	72
61	115	71
62	118	69
63	120	67
64	123	66
65	126	65
66	128	63
67	130	61
68	133	59
69	135	57
70	137	56
71	139	54
72	141	52
73	143	50
74	145	48
75	147	46
76	149	44
77	151	42
78	153	40
79	155	38
80	157	36
81	158	34
82	160	32
83	161	30
84	163	28
85	164	26
86	166	24
87	167	22
88	169	20
89	170	18
90	172	17
91	173	15
92	175	13
93	176	11
94	177	9
95	179	7
96	180	5
97	182	3
98	183	1
99	185	0
