iter	Passed	Remaining
0	141	141485
1	145	72798
2	156	51984
3	159	39599
4	164	32659
5	171	28340
6	173	24620
7	181	22490
8	184	20293
9	185	18413
10	187	16869
11	189	15618
12	192	14593
13	195	13758
14	197	12951
15	199	12289
16	205	11856
17	209	11403
18	211	10901
19	213	10440
20	215	10030
21	218	9704
22	220	9368
23	222	9031
24	224	8741
25	226	8472
26	227	8206
27	229	7963
28	232	7796
29	235	7603
30	237	7408
31	238	7215
32	239	7029
33	241	6863
34	243	6702
35	246	6595
36	248	6462
37	249	6327
38	252	6211
39	253	6092
40	255	5978
41	257	5865
42	262	5841
43	266	5780
44	267	5686
45	269	5597
46	271	5509
47	275	5463
48	277	5379
49	278	5300
50	280	5219
51	281	5139
52	283	5068
53	286	5015
54	288	4957
55	290	4889
56	291	4830
57	293	4770
58	295	4713
59	297	4653
60	298	4593
61	301	4560
62	303	4506
63	304	4458
64	306	4410
65	308	4363
66	310	4316
67	311	4267
68	312	4221
69	316	4201
70	317	4159
71	319	4115
72	321	4077
73	322	4036
74	325	4009
75	327	3980
76	331	3968
77	332	3933
78	334	3902
79	336	3869
80	338	3834
81	339	3806
82	340	3766
83	342	3735
84	344	3712
85	346	3681
86	347	3650
87	350	3627
88	351	3597
89	354	3580
90	356	3560
91	359	3543
92	361	3521
93	364	3509
94	366	3493
95	376	3548
96	381	3550
97	390	3598
98	397	3619
99	400	3602
100	404	3596
101	406	3575
102	407	3552
103	409	3531
104	411	3508
105	413	3486
106	414	3463
107	416	3439
108	419	3429
109	421	3408
110	423	3388
111	424	3366
112	426	3344
113	427	3323
114	429	3302
115	430	3281
116	432	3266
117	434	3248
118	436	3228
119	437	3208
120	439	3190
121	440	3170
122	442	3151
123	443	3132
124	445	3117
125	448	3107
126	449	3092
127	451	3074
128	453	3062
129	455	3049
130	458	3040
131	462	3040
132	465	3032
133	466	3016
134	468	3004
135	470	2987
136	472	2975
137	473	2960
138	476	2952
139	478	2941
140	480	2926
141	481	2908
142	483	2895
143	484	2880
144	486	2867
145	488	2857
146	492	2856
147	494	2847
148	497	2840
149	500	2834
150	501	2822
151	503	2810
152	507	2811
153	510	2802
154	512	2792
155	514	2781
156	516	2775
157	518	2764
158	524	2775
159	527	2767
160	528	2754
161	530	2743
162	532	2732
163	538	2744
164	540	2737
165	543	2730
166	545	2721
167	547	2711
168	551	2709
169	553	2703
170	555	2694
171	557	2685
172	560	2680
173	565	2685
174	568	2681
175	571	2673
176	572	2663
177	574	2654
178	576	2645
179	579	2639
180	581	2633
181	583	2623
182	585	2613
183	586	2602
184	590	2600
185	592	2592
186	596	2592
187	598	2584
188	600	2576
189	602	2569
190	604	2559
191	605	2549
192	610	2552
193	612	2545
194	614	2535
195	615	2525
196	617	2515
197	618	2506
198	620	2497
199	623	2495
200	626	2492
201	629	2485
202	632	2482
203	634	2474
204	636	2466
205	643	2478
206	645	2474
207	648	2468
208	650	2462
209	662	2493
210	664	2486
211	666	2477
212	671	2481
213	673	2473
214	675	2465
215	677	2458
216	679	2450
217	680	2442
218	684	2441
219	686	2435
220	688	2426
221	689	2416
222	691	2407
223	692	2398
224	694	2390
225	695	2382
226	699	2382
227	701	2374
228	702	2365
229	704	2357
230	705	2348
231	707	2340
232	708	2333
233	710	2324
234	713	2322
235	715	2317
236	717	2309
237	718	2300
238	719	2292
239	722	2287
240	724	2280
241	726	2276
242	729	2272
243	731	2266
244	733	2260
245	735	2254
246	737	2247
247	739	2242
248	743	2241
249	745	2235
250	746	2227
251	748	2222
252	750	2214
253	751	2207
254	752	2199
255	754	2192
256	757	2189
257	759	2184
258	761	2179
259	763	2173
260	766	2168
261	767	2163
262	769	2157
263	773	2155
264	775	2150
265	776	2143
266	778	2136
267	779	2128
268	780	2121
269	782	2115
270	784	2109
271	788	2110
272	790	2105
273	792	2099
274	794	2093
275	795	2086
276	796	2080
277	798	2073
278	802	2072
279	803	2067
280	805	2061
281	807	2054
282	808	2048
283	809	2042
284	811	2035
285	812	2029
286	817	2030
287	818	2024
288	820	2018
289	821	2012
290	823	2006
291	824	2000
292	826	1994
293	828	1988
294	831	1987
295	833	1982
296	835	1977
297	837	1971
298	839	1968
299	841	1964
300	843	1958
301	847	1958
302	849	1953
303	850	1947
304	852	1943
305	854	1937
306	856	1932
307	857	1926
308	860	1925
309	862	1920
310	864	1914
311	865	1908
312	866	1902
313	868	1897
314	870	1891
315	871	1886
316	873	1881
317	876	1879
318	877	1873
319	879	1868
320	880	1862
321	882	1857
322	883	1852
323	886	1849
324	891	1851
325	892	1846
326	895	1843
327	897	1839
328	899	1834
329	900	1828
330	902	1823
331	906	1823
332	908	1818
333	909	1813
334	911	1808
335	912	1803
336	914	1799
337	916	1794
338	921	1796
339	925	1795
340	928	1794
341	935	1799
342	937	1795
343	938	1789
344	940	1785
345	941	1780
346	943	1774
347	944	1769
348	945	1764
349	950	1765
350	952	1760
351	953	1756
352	955	1751
353	956	1745
354	958	1740
355	959	1735
356	961	1731
357	965	1731
358	966	1726
359	968	1721
360	969	1716
361	971	1711
362	972	1707
363	975	1703
364	980	1705
365	982	1701
366	983	1696
367	985	1691
368	986	1687
369	988	1683
370	990	1678
371	993	1677
372	995	1672
373	996	1668
374	998	1663
375	999	1659
